caso,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
64_densa_D10_a,strassen,64,densa,D10,a,251913,251.913,0,true,data/matrix_output/64_densa_D10_a_strassen.txt
64_densa_D10_b,naive,64,densa,D10,b,2692,2.69215,0,true,data/matrix_output/64_densa_D10_b_naive.txt
64_densa_D10_b,strassen,64,densa,D10,b,282445,282.446,0,true,data/matrix_output/64_densa_D10_b_strassen.txt
64_densa_D10_c,naive,64,densa,D10,c,3044,3.04456,0,true,data/matrix_output/64_densa_D10_c_naive.txt
64_densa_D10_c,strassen,64,densa,D10,c,259945,259.945,0,true,data/matrix_output/64_densa_D10_c_strassen.txt
64_diagonal_D0_a,naive,64,diagonal,D0,a,14636,14.6365,0,true,data/matrix_output/64_diagonal_D0_a_naive.txt
64_diagonal_D0_a,strassen,64,diagonal,D0,a,285847,285.848,0,true,data/matrix_output/64_diagonal_D0_a_strassen.txt
64_diagonal_D0_b,naive,64,diagonal,D0,b,16297,16.2971,0,true,data/matrix_output/64_diagonal_D0_b_naive.txt
64_diagonal_D0_b,strassen,64,diagonal,D0,b,293615,293.616,0,true,data/matrix_output/64_diagonal_D0_b_strassen.txt
64_diagonal_D0_c,naive,64,diagonal,D0,c,5194,5.1949,0,true,data/matrix_output/64_diagonal_D0_c_naive.txt
64_diagonal_D0_c,strassen,64,diagonal,D0,c,268224,268.225,0,true,data/matrix_output/64_diagonal_D0_c_strassen.txt
64_diagonal_D10_a,naive,64,diagonal,D10,a,2635,2.63574,0,true,data/matrix_output/64_diagonal_D10_a_naive.txt
64_diagonal_D10_a,strassen,64,diagonal,D10,a,292997,292.997,0,true,data/matrix_output/64_diagonal_D10_a_strassen.txt
64_diagonal_D10_b,naive,64,diagonal,D10,b,2983,2.98358,0,true,data/matrix_output/64_diagonal_D10_b_naive.txt
64_diagonal_D10_b,strassen,64,diagonal,D10,b,255416,255.417,0,true,data/matrix_output/64_diagonal_D10_b_strassen.txt
64_diagonal_D10_c,naive,64,diagonal,D10,c,2680,2.68063,0,true,data/matrix_output/64_diagonal_D10_c_naive.txt
64_diagonal_D10_c,strassen,64,diagonal,D10,c,261703,261.703,0,true,data/matrix_output/64_diagonal_D10_c_strassen.txt
64_dispersa_D0_a,naive,64,dispersa,D0,a,14952,14.9527,0,true,data/matrix_output/64_dispersa_D0_a_naive.txt
64_dispersa_D0_a,strassen,64,dispersa,D0,a,283618,283.619,0,true,data/matrix_output/64_dispersa_D0_a_strassen.txt
64_dispersa_D0_b,naive,64,dispersa,D0,b,3026,3.02671,0,true,data/matrix_output/64_dispersa_D0_b_naive.txt
64_dispersa_D0_b,strassen,64,dispersa,D0,b,253632,253.632,0,true,data/matrix_output/64_dispersa_D0_b_strassen.txt
64_dispersa_D0_c,naive,64,dispersa,D0,c,2752,2.75297,0,true,data/matrix_output/64_dispersa_D0_c_naive.txt
64_dispersa_D0_c,strassen,64,dispersa,D0,c,285432,285.433,0,true,data/matrix_output/64_dispersa_D0_c_strassen.txt
64_dispersa_D10_a,naive,64,dispersa,D10,a,2751,2.75118,0,true,data/matrix_output/64_dispersa_D10_a_naive.txt
64_dispersa_D10_a,strassen,64,dispersa,D10,a,292322,292.322,0,true,data/matrix_output/64_dispersa_D10_a_strassen.txt
64_dispersa_D10_b,naive,64,dispersa,D10,b,13305,13.3053,0,true,data/matrix_output/64_dispersa_D10_b_naive.txt
64_dispersa_D10_b,strassen,64,dispersa,D10,b,276380,276.38,0,true,data/matrix_output/64_dispersa_D10_b_strassen.txt
64_dispersa_D10_c,naive,64,dispersa,D10,c,3307,3.30755,0,true,data/matrix_output/64_dispersa_D10_c_naive.txt
64_dispersa_D10_c,strassen,64,dispersa,D10,c,256005,256.006,0,true,data/matrix_output/64_dispersa_D10_c_strassen.txt
256_densa_D0_a,naive,256,densa,D0,a,169828,169.828,384,true,data/matrix_output/256_densa_D0_a_naive.txt
256_densa_D0_a,strassen,256,densa,D0,a,12241994,12242,1152,true,data/matrix_output/256_densa_D0_a_strassen.txt
256_densa_D0_b,naive,256,densa,D0,b,175359,175.359,0,true,data/matrix_output/256_densa_D0_b_naive.txt
