archivo_entrada,algoritmo,n,tipo,dominio,muestra,tiempo_us,tiempo_ms,memoria_kb,resultado_correcto,archivo_salida
10_ascendente_D7_b.txt,merge,10,ascendente,D7,b,18,0.018479,0,true,data/array_output/10_ascendente_D7_b_merge.txt
10_ascendente_D7_b.txt,quick,10,ascendente,D7,b,4,0.004863,0,true,data/array_output/10_ascendente_D7_b_quick.txt
10_ascendente_D7_b.txt,patience,10,ascendente,D7,b,74,0.074316,0,true,data/array_output/10_ascendente_D7_b_patience.txt
10_ascendente_D7_b.txt,stdsort,10,ascendente,D7,b,3,0.003252,0,true,data/array_output/10_ascendente_D7_b_stdsort.txt
10_ascendente_D7_c.txt,merge,10,ascendente,D7,c,19,0.019094,0,true,data/array_output/10_ascendente_D7_c_merge.txt
10_ascendente_D7_c.txt,quick,10,ascendente,D7,c,6,0.00685,0,true,data/array_output/10_ascendente_D7_c_quick.txt
10_ascendente_D7_c.txt,patience,10,ascendente,D7,c,19,0.019287,0,true,data/array_output/10_ascendente_D7_c_patience.txt
10_ascendente_D7_c.txt,stdsort,10,ascendente,D7,c,6,0.00635,0,true,data/array_output/10_ascendente_D7_c_stdsort.txt
10_descendente_D1_a.txt,merge,10,descendente,D1,a,20,0.020797,0,true,data/array_output/10_descendente_D1_a_merge.txt
10_descendente_D1_a.txt,quick,10,descendente,D1,a,6,0.006586,0,true,data/array_output/10_descendente_D1_a_quick.txt
10_descendente_D1_a.txt,patience,10,descendente,D1,a,9,0.00916,0,true,data/array_output/10_descendente_D1_a_patience.txt
10_descendente_D1_a.txt,stdsort,10,descendente,D1,a,3,0.003487,0,true,data/array_output/10_descendente_D1_a_stdsort.txt
10_descendente_D1_b.txt,merge,10,descendente,D1,b,23,0.023873,0,true,data/array_output/10_descendente_D1_b_merge.txt
10_descendente_D1_b.txt,quick,10,descendente,D1,b,5,0.005833,0,true,data/array_output/10_descendente_D1_b_quick.txt
10_descendente_D1_b.txt,patience,10,descendente,D1,b,33,0.033132,0,true,data/array_output/10_descendente_D1_b_patience.txt
10_descendente_D1_b.txt,stdsort,10,descendente,D1,b,12,0.012719,0,true,data/array_output/10_descendente_D1_b_stdsort.txt
10_descendente_D1_c.txt,merge,10,descendente,D1,c,19,0.019547,0,true,data/array_output/10_descendente_D1_c_merge.txt
10_descendente_D1_c.txt,quick,10,descendente,D1,c,5,0.005506,0,true,data/array_output/10_descendente_D1_c_quick.txt
10_descendente_D1_c.txt,patience,10,descendente,D1,c,6,0.006832,0,true,data/array_output/10_descendente_D1_c_patience.txt
10_descendente_D1_c.txt,stdsort,10,descendente,D1,c,8,0.00873,0,true,data/array_output/10_descendente_D1_c_stdsort.txt
10_descendente_D7_a.txt,merge,10,descendente,D7,a,3,0.00372,0,true,data/array_output/10_descendente_D7_a_merge.txt
10_descendente_D7_a.txt,quick,10,descendente,D7,a,1,0.001532,0,true,data/array_output/10_descendente_D7_a_quick.txt
10_descendente_D7_a.txt,patience,10,descendente,D7,a,69,0.069594,0,true,data/array_output/10_descendente_D7_a_patience.txt
